Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Sentiment
2021-02-08,38886.828125,46203.9296875,38076.32421875,46196.46484375,101467222687,0,0,0.06498454184704185
2021-02-09,46184.9921875,48003.72265625,45166.9609375,46481.10546875,91809846886,0,0,0.02985849567099567
2021-02-10,46469.76171875,47145.56640625,43881.15234375,44918.18359375,87301089896,0,0,0.08264780705405705
2021-02-11,44898.7109375,48463.46875,44187.76171875,47909.33203125,81388911810,0,0,0.12229166666666667
2021-02-12,47877.03515625,48745.734375,46424.9765625,47504.8515625,76555041196,0,0,0.10105795454545455
2021-02-13,47491.203125,48047.74609375,46392.28125,47105.515625,70250456155,0,0,0.21523530303030303
2021-02-14,47114.5078125,49487.640625,47114.5078125,48717.2890625,71248675228,0,0,0.09022008338883339
2021-02-15,48696.53515625,48875.5703125,46347.4765625,47945.05859375,77069903166,0,0,0.0767686011904762
2021-02-16,47944.45703125,50341.1015625,47201.3046875,49199.87109375,77049582886,0,0,0.038163672438672434
2021-02-17,49207.27734375,52533.9140625,49072.37890625,52149.0078125,80820545404,0,0,0.07867092352092352
2021-02-18,52140.97265625,52474.10546875,51015.765625,51679.796875,52054723579,0,0,0.07882689844877344
2021-02-19,51675.98046875,56113.65234375,50937.27734375,55888.1328125,63495496918,0,0,0.05553643578643579
2021-02-20,55887.3359375,57505.2265625,54626.55859375,56099.51953125,68145460026,0,0,-0.33309132395382396
2021-02-21,56068.56640625,58330.5703125,55672.609375,57539.9453125,51897585191,0,0,-0.03257481060606061
2021-02-22,57532.73828125,57533.390625,48967.56640625,54207.3203125,92052420332,0,0,0.08023854617604617
2021-02-23,54204.9296875,54204.9296875,45290.58984375,48824.42578125,106102492824,0,0,0.08867595072751323
2021-02-24,48835.0859375,51290.13671875,47213.5,49705.33203125,63695521388,0,0,0.045820436507936504
2021-02-25,49709.08203125,51948.96875,47093.8515625,47093.8515625,54506565949,0,0,0.07243345959595959
2021-02-26,47180.46484375,48370.78515625,44454.84375,46339.76171875,350967941479,0,0,0.06648880471380472
2021-02-27,46344.7734375,48253.26953125,45269.02734375,46188.453125,45910946382,0,0,0.05181711760461761
2021-02-28,46194.015625,46716.4296875,43241.6171875,45137.76953125,53443887451,0,0,0.06813525132275132
2021-03-01,45159.50390625,49784.015625,45115.09375,49631.2421875,53891300112,0,0,0.05349564393939394
2021-03-02,49612.10546875,50127.51171875,47228.84375,48378.98828125,47530897720,0,0,0.06117718253968254
2021-03-03,48415.81640625,52535.13671875,48274.3203125,50538.2421875,53220811975,0,0,0.16645045544733045
2021-03-04,50522.3046875,51735.08984375,47656.9296875,48561.16796875,52343816680,0,0,0.07013676497113996
2021-03-05,48527.03125,49396.4296875,46542.515625,48927.3046875,48625928883,0,0,0.1350537923881674
2021-03-06,48899.23046875,49147.21875,47257.52734375,48912.3828125,34363564661,0,0,0.11018661616161617
2021-03-07,48918.6796875,51384.3671875,48918.6796875,51206.69140625,43137459378,0,0,0.05254026847718254
2021-03-08,51174.1171875,52314.0703125,49506.0546875,52246.5234375,48597428048,0,0,0.13518204365079364
2021-03-09,52272.96875,54824.1171875,51981.83203125,54824.1171875,50912227385,0,0,0.08866289682539683
2021-03-10,54824.01171875,57258.25390625,53290.890625,56008.55078125,57295577614,0,0,0.05615477092352092
2021-03-11,55963.1796875,58091.0625,54484.59375,57805.12109375,56772343595,0,0,0.09471882215007214
2021-03-12,57821.21875,57996.62109375,55376.6484375,57332.08984375,55689944702,0,0,0.001748094035594036
2021-03-13,57343.37109375,61683.86328125,56217.97265625,61243.0859375,60669829814,0,0,0.056253336940836944
2021-03-14,61221.1328125,61597.91796875,59302.31640625,59302.31640625,43901225564,0,0,0.04564981962481963
2021-03-15,59267.4296875,60540.9921875,55393.1640625,55907.19921875,66419369890,0,0,0.08984779942279943
2021-03-16,55840.78515625,56833.1796875,53555.02734375,56804.90234375,59749798599,0,0,0.07413546176046176
2021-03-17,56825.828125,58969.81640625,54528.62890625,58870.89453125,60258313191,0,0,0.10545664231601731
2021-03-18,58893.078125,60116.25,54253.578125,57858.921875,55746041000,0,0,0.10355312049062049
2021-03-19,57850.44140625,59498.375,56643.703125,58346.65234375,49063873786,0,0,0.11164924242424243
2021-03-20,58332.26171875,60031.28515625,58213.296875,58313.64453125,50361731222,0,0,0.04208560606060606
2021-03-21,58309.9140625,58767.8984375,56005.6171875,57523.421875,51943414539,0,0,0.11108804112554113
2021-03-22,57517.890625,58471.48046875,54288.15625,54529.14453125,56521454974,0,0,0.06847377344877345
2021-03-23,54511.66015625,55985.44140625,53470.6953125,54738.9453125,56435023914,0,0,0.06905159782347282
2021-03-24,54710.48828125,57262.3828125,52514.33203125,52774.265625,70567223787,0,0,0.011786850649350648
2021-03-25,52726.74609375,53392.38671875,50856.5703125,51704.16015625,67999812841,0,0,0.12878310705498205
2021-03-26,51683.01171875,55137.3125,51579.85546875,55137.3125,56652197978,0,0,0.12321048825306638
2021-03-27,55137.56640625,56568.21484375,54242.91015625,55973.51171875,47266542233,0,0,0.14855988455988456
2021-03-28,55974.94140625,56610.3125,55071.11328125,55950.74609375,47686580918,0,0,0.12098901515151515
2021-03-29,55947.8984375,58342.09765625,55139.33984375,57750.19921875,57625587027,0,0,0.14230556302421538
